"id","survived","pclass","sex","age","sibsp","parch","fare","embarked","farelevel"
"526","N","P3","male",40.5,0,0,7.75,"Q","L"
"527","Y","P2","female",50,0,0,10.5,"S","L"
"528","N","P1","male",?,0,0,221.7792,"S","H"
"529","N","P3","male",39,0,0,7.925,"S","L"
"530","N","P2","male",23,2,1,11.5,"S","L"
"531","Y","P2","female",2,1,1,26,"S","L"
"532","N","P3","male",?,0,0,7.2292,"C","L"
"533","N","P3","male",17,1,1,7.2292,"C","L"
"534","Y","P3","female",?,0,2,22.3583,"C","L"
"535","N","P3","female",30,0,0,8.6625,"S","L"
"536","Y","P2","female",7,0,2,26.25,"S","L"
"537","N","P1","male",45,0,0,26.55,"S","L"
"538","Y","P1","female",30,0,0,106.425,"C","H"
"539","N","P3","male",?,0,0,14.5,"S","L"
"540","Y","P1","female",22,0,2,49.5,"C","L"
"541","Y","P1","female",36,0,2,71,"S","L"
"542","N","P3","female",9,4,2,31.275,"S","L"
"543","N","P3","female",11,4,2,31.275,"S","L"
"544","Y","P2","male",32,1,0,26,"S","L"
"545","N","P1","male",50,1,0,106.425,"C","H"
"546","N","P1","male",64,0,0,26,"S","L"
"547","Y","P2","female",19,1,0,26,"S","L"
"548","Y","P2","male",?,0,0,13.8625,"C","L"
"549","N","P3","male",33,1,1,20.525,"S","L"
"550","Y","P2","male",8,1,1,36.75,"S","L"
"551","Y","P1","male",17,0,2,110.8833,"C","H"
"552","N","P2","male",27,0,0,26,"S","L"
"553","N","P3","male",?,0,0,7.8292,"Q","L"
"554","Y","P3","male",22,0,0,7.225,"C","L"
"555","Y","P3","female",22,0,0,7.775,"S","L"
"556","N","P1","male",62,0,0,26.55,"S","L"
"557","Y","P1","female",48,1,0,39.6,"C","L"
"558","N","P1","male",?,0,0,227.525,"C","H"
"559","Y","P1","female",39,1,1,79.65,"S","L"
"560","Y","P3","female",36,1,0,17.4,"S","L"
"561","N","P3","male",?,0,0,7.75,"Q","L"
"562","N","P3","male",40,0,0,7.8958,"S","L"
"563","N","P2","male",28,0,0,13.5,"S","L"
"564","N","P3","male",?,0,0,8.05,"S","L"
"565","N","P3","female",?,0,0,8.05,"S","L"
"566","N","P3","male",24,2,0,24.15,"S","L"
"567","N","P3","male",19,0,0,7.8958,"S","L"
"568","N","P3","female",29,0,4,21.075,"S","L"
"569","N","P3","male",?,0,0,7.2292,"C","L"
"570","Y","P3","male",32,0,0,7.8542,"S","L"
"571","Y","P2","male",62,0,0,10.5,"S","L"
"572","Y","P1","female",53,2,0,51.4792,"S","L"
"573","Y","P1","male",36,0,0,26.3875,"S","L"
"574","Y","P3","female",?,0,0,7.75,"Q","L"
"575","N","P3","male",16,0,0,8.05,"S","L"
"576","N","P3","male",19,0,0,14.5,"S","L"
"577","Y","P2","female",34,0,0,13,"S","L"
"578","Y","P1","female",39,1,0,55.9,"S","L"
"579","N","P3","female",?,1,0,14.4583,"C","L"
"580","Y","P3","male",32,0,0,7.925,"S","L"
"581","Y","P2","female",25,1,1,30,"S","L"
"582","Y","P1","female",39,1,1,110.8833,"C","H"
"583","N","P2","male",54,0,0,26,"S","L"
"584","N","P1","male",36,0,0,40.125,"C","L"
"585","N","P3","male",?,0,0,8.7125,"C","L"
"586","Y","P1","female",18,0,2,79.65,"S","L"
"587","N","P2","male",47,0,0,15,"S","L"
"588","Y","P1","male",60,1,1,79.2,"C","L"
"589","N","P3","male",22,0,0,8.05,"S","L"
"590","N","P3","male",?,0,0,8.05,"S","L"
"591","N","P3","male",35,0,0,7.125,"S","L"
"592","Y","P1","female",52,1,0,78.2667,"C","L"
"593","N","P3","male",47,0,0,7.25,"S","L"
"594","N","P3","female",?,0,2,7.75,"Q","L"
"595","N","P2","male",37,1,0,26,"S","L"
"596","N","P3","male",36,1,1,24.15,"S","L"
"597","Y","P2","female",?,0,0,33,"S","L"
"598","N","P3","male",49,0,0,0,"S","L"
"599","N","P3","male",?,0,0,7.225,"C","L"
"600","Y","P1","male",49,1,0,56.9292,"C","L"
"601","Y","P2","female",24,2,1,27,"S","L"
"602","N","P3","male",?,0,0,7.8958,"S","L"
"603","N","P1","male",?,0,0,42.4,"S","L"
"604","N","P3","male",44,0,0,8.05,"S","L"
"605","Y","P1","male",35,0,0,26.55,"C","L"
"606","N","P3","male",36,1,0,15.55,"S","L"
"607","N","P3","male",30,0,0,7.8958,"S","L"
"608","Y","P1","male",27,0,0,30.5,"S","L"
"609","Y","P2","female",22,1,2,41.5792,"C","L"
"610","Y","P1","female",40,0,0,153.4625,"S","H"
"611","N","P3","female",39,1,5,31.275,"S","L"
"612","N","P3","male",?,0,0,7.05,"S","L"
"613","Y","P3","female",?,1,0,15.5,"Q","L"
"614","N","P3","male",?,0,0,7.75,"Q","L"
"615","N","P3","male",35,0,0,8.05,"S","L"
"616","Y","P2","female",24,1,2,65,"S","L"
"617","N","P3","male",34,1,1,14.4,"S","L"
"618","N","P3","female",26,1,0,16.1,"S","L"
"619","Y","P2","female",4,2,1,39,"S","L"
"620","N","P2","male",26,0,0,10.5,"S","L"
"621","N","P3","male",27,1,0,14.4542,"C","L"
"622","Y","P1","male",42,1,0,52.5542,"S","L"
"623","Y","P3","male",20,1,1,15.7417,"C","L"
"624","N","P3","male",21,0,0,7.8542,"S","L"
"625","N","P3","male",21,0,0,16.1,"S","L"
"626","N","P1","male",61,0,0,32.3208,"S","L"
"627","N","P2","male",57,0,0,12.35,"Q","L"
"628","Y","P1","female",21,0,0,77.9583,"S","L"
"629","N","P3","male",26,0,0,7.8958,"S","L"
"630","N","P3","male",?,0,0,7.7333,"Q","L"
"631","Y","P1","male",80,0,0,30,"S","L"
"632","N","P3","male",51,0,0,7.0542,"S","L"
"633","Y","P1","male",32,0,0,30.5,"C","L"
"634","N","P1","male",?,0,0,0,"S","L"
"635","N","P3","female",9,3,2,27.9,"S","L"
"636","Y","P2","female",28,0,0,13,"S","L"
"637","N","P3","male",32,0,0,7.925,"S","L"
"638","N","P2","male",31,1,1,26.25,"S","L"
"639","N","P3","female",41,0,5,39.6875,"S","L"
"640","N","P3","male",?,1,0,16.1,"S","L"
"641","N","P3","male",20,0,0,7.8542,"S","L"
"642","Y","P1","female",24,0,0,69.3,"C","L"
"643","N","P3","female",2,3,2,27.9,"S","L"
"644","Y","P3","male",?,0,0,56.4958,"S","L"
"645","Y","P3","female",0.75,2,1,19.2583,"C","L"
"646","Y","P1","male",48,1,0,76.7292,"C","L"
"647","N","P3","male",19,0,0,7.8958,"S","L"
"648","Y","P1","male",56,0,0,35.5,"C","L"
"649","N","P3","male",?,0,0,7.55,"S","L"
"650","Y","P3","female",23,0,0,7.55,"S","L"
"651","N","P3","male",?,0,0,7.8958,"S","L"
"652","Y","P2","female",18,0,1,23,"S","L"
"653","N","P3","male",21,0,0,8.4333,"S","L"
"654","Y","P3","female",?,0,0,7.8292,"Q","L"
"655","N","P3","female",18,0,0,6.75,"Q","L"
"656","N","P2","male",24,2,0,73.5,"S","L"
"657","N","P3","male",?,0,0,7.8958,"S","L"
"658","N","P3","female",32,1,1,15.5,"Q","L"
"659","N","P2","male",23,0,0,13,"S","L"
"660","N","P1","male",58,0,2,113.275,"C","H"
"661","Y","P1","male",50,2,0,133.65,"S","H"
"662","N","P3","male",40,0,0,7.225,"C","L"
"663","N","P1","male",47,0,0,25.5875,"S","L"
"664","N","P3","male",36,0,0,7.4958,"S","L"
"665","Y","P3","male",20,1,0,7.925,"S","L"
"666","N","P2","male",32,2,0,73.5,"S","L"
"667","N","P2","male",25,0,0,13,"S","L"
"668","N","P3","male",?,0,0,7.775,"S","L"
"669","N","P3","male",43,0,0,8.05,"S","L"
"670","Y","P1","female",?,1,0,52,"S","L"
"671","Y","P2","female",40,1,1,39,"S","L"
"672","N","P1","male",31,1,0,52,"S","L"
"673","N","P2","male",70,0,0,10.5,"S","L"
"674","Y","P2","male",31,0,0,13,"S","L"
"675","N","P2","male",?,0,0,0,"S","L"
"676","N","P3","male",18,0,0,7.775,"S","L"
"677","N","P3","male",24.5,0,0,8.05,"S","L"
"678","Y","P3","female",18,0,0,9.8417,"S","L"
"679","N","P3","female",43,1,6,46.9,"S","L"
"680","Y","P1","male",36,0,1,512.3292,"C","H"
"681","N","P3","female",?,0,0,8.1375,"Q","L"
"682","Y","P1","male",27,0,0,76.7292,"C","L"
"683","N","P3","male",20,0,0,9.225,"S","L"
"684","N","P3","male",14,5,2,46.9,"S","L"
"685","N","P2","male",60,1,1,39,"S","L"
"686","N","P2","male",25,1,2,41.5792,"C","L"
"687","N","P3","male",14,4,1,39.6875,"S","L"
"688","N","P3","male",19,0,0,10.1708,"S","L"
"689","N","P3","male",18,0,0,7.7958,"S","L"
"690","Y","P1","female",15,0,1,211.3375,"S","H"
"691","Y","P1","male",31,1,0,57,"S","L"
"692","Y","P3","female",4,0,1,13.4167,"C","L"
"693","Y","P3","male",?,0,0,56.4958,"S","L"
"694","N","P3","male",25,0,0,7.225,"C","L"
"695","N","P1","male",60,0,0,26.55,"S","L"
"696","N","P2","male",52,0,0,13.5,"S","L"
"697","N","P3","male",44,0,0,8.05,"S","L"
"698","Y","P3","female",?,0,0,7.7333,"Q","L"
"699","N","P1","male",49,1,1,110.8833,"C","H"
"700","N","P3","male",42,0,0,7.65,"S","L"
"701","Y","P1","female",18,1,0,227.525,"C","H"
"702","Y","P1","male",35,0,0,26.2875,"S","L"
"703","N","P3","female",18,0,1,14.4542,"C","L"
"704","N","P3","male",25,0,0,7.7417,"Q","L"
"705","N","P3","male",26,1,0,7.8542,"S","L"
"706","N","P2","male",39,0,0,26,"S","L"
"707","Y","P2","female",45,0,0,13.5,"S","L"
"708","Y","P1","male",42,0,0,26.2875,"S","L"
"709","Y","P1","female",22,0,0,151.55,"S","H"
"710","Y","P3","male",?,1,1,15.2458,"C","L"
"711","Y","P1","female",24,0,0,49.5042,"C","L"
"712","N","P1","male",?,0,0,26.55,"S","L"
"713","Y","P1","male",48,1,0,52,"S","L"
"714","N","P3","male",29,0,0,9.4833,"S","L"
"715","N","P2","male",52,0,0,13,"S","L"
"716","N","P3","male",19,0,0,7.65,"S","L"
"717","Y","P1","female",38,0,0,227.525,"C","H"
"718","Y","P2","female",27,0,0,10.5,"S","L"
"719","N","P3","male",?,0,0,15.5,"Q","L"
"720","N","P3","male",33,0,0,7.775,"S","L"
"721","Y","P2","female",6,0,1,33,"S","L"
"722","N","P3","male",17,1,0,7.0542,"S","L"
"723","N","P2","male",34,0,0,13,"S","L"
"724","N","P2","male",50,0,0,13,"S","L"
"725","Y","P1","male",27,1,0,53.1,"S","L"
"726","N","P3","male",20,0,0,8.6625,"S","L"
"727","Y","P2","female",30,3,0,21,"S","L"
"728","Y","P3","female",?,0,0,7.7375,"Q","L"
"729","N","P2","male",25,1,0,26,"S","L"
"730","N","P3","female",25,1,0,7.925,"S","L"
"731","Y","P1","female",29,0,0,211.3375,"S","H"
"732","N","P3","male",11,0,0,18.7875,"C","L"
"733","N","P2","male",?,0,0,0,"S","L"
"734","N","P2","male",23,0,0,13,"S","L"
"735","N","P2","male",23,0,0,13,"S","L"
"736","N","P3","male",28.5,0,0,16.1,"S","L"
"737","N","P3","female",48,1,3,34.375,"S","L"
"738","Y","P1","male",35,0,0,512.3292,"C","H"
"739","N","P3","male",?,0,0,7.8958,"S","L"
"740","N","P3","male",?,0,0,7.8958,"S","L"
"741","Y","P1","male",?,0,0,30,"S","L"
"742","N","P1","male",36,1,0,78.85,"S","L"
"743","Y","P1","female",21,2,2,262.375,"C","H"
"744","N","P3","male",24,1,0,16.1,"S","L"
"745","Y","P3","male",31,0,0,7.925,"S","L"
"746","N","P1","male",70,1,1,71,"S","L"
"747","N","P3","male",16,1,1,20.25,"S","L"
"748","Y","P2","female",30,0,0,13,"S","L"
"749","N","P1","male",19,1,0,53.1,"S","L"
"750","N","P3","male",31,0,0,7.75,"Q","L"
"751","Y","P2","female",4,1,1,23,"S","L"
"752","Y","P3","male",6,0,1,12.475,"S","L"
"753","N","P3","male",33,0,0,9.5,"S","L"
"754","N","P3","male",23,0,0,7.8958,"S","L"
"755","Y","P2","female",48,1,2,65,"S","L"
"756","Y","P2","male",0.67,1,1,14.5,"S","L"
"757","N","P3","male",28,0,0,7.7958,"S","L"
"758","N","P2","male",18,0,0,11.5,"S","L"
"759","N","P3","male",34,0,0,8.05,"S","L"
"760","Y","P1","female",33,0,0,86.5,"S","L"
"761","N","P3","male",?,0,0,14.5,"S","L"
"762","N","P3","male",41,0,0,7.125,"S","L"
"763","Y","P3","male",20,0,0,7.2292,"C","L"
"764","Y","P1","female",36,1,2,120,"S","H"
"765","N","P3","male",16,0,0,7.775,"S","L"
"766","Y","P1","female",51,1,0,77.9583,"S","L"
"767","N","P1","male",?,0,0,39.6,"C","L"
"768","N","P3","female",30.5,0,0,7.75,"Q","L"
"769","N","P3","male",?,1,0,24.15,"Q","L"
"770","N","P3","male",32,0,0,8.3625,"S","L"
"771","N","P3","male",24,0,0,9.5,"S","L"
"772","N","P3","male",48,0,0,7.8542,"S","L"
"773","N","P2","female",57,0,0,10.5,"S","L"
"774","N","P3","male",?,0,0,7.225,"C","L"
"775","Y","P2","female",54,1,3,23,"S","L"
"776","N","P3","male",18,0,0,7.75,"S","L"
"777","N","P3","male",?,0,0,7.75,"Q","L"
"778","Y","P3","female",5,0,0,12.475,"S","L"
"779","N","P3","male",?,0,0,7.7375,"Q","L"
"780","Y","P1","female",43,0,1,211.3375,"S","H"
"781","Y","P3","female",13,0,0,7.2292,"C","L"
"782","Y","P1","female",17,1,0,57,"S","L"
"783","N","P1","male",29,0,0,30,"S","L"
"784","N","P3","male",?,1,2,23.45,"S","L"
"785","N","P3","male",25,0,0,7.05,"S","L"
"786","N","P3","male",25,0,0,7.25,"S","L"
"787","Y","P3","female",18,0,0,7.4958,"S","L"
"788","N","P3","male",8,4,1,29.125,"Q","L"
"789","Y","P3","male",1,1,2,20.575,"S","L"
"790","N","P1","male",46,0,0,79.2,"C","L"
"791","N","P3","male",?,0,0,7.75,"Q","L"
"792","N","P2","male",16,0,0,26,"S","L"
"793","N","P3","female",?,8,2,69.55,"S","L"
"794","N","P1","male",?,0,0,30.6958,"C","L"
"795","N","P3","male",25,0,0,7.8958,"S","L"
"796","N","P2","male",39,0,0,13,"S","L"
"797","Y","P1","female",49,0,0,25.9292,"S","L"
"798","Y","P3","female",31,0,0,8.6833,"S","L"
"799","N","P3","male",30,0,0,7.2292,"C","L"
"800","N","P3","female",30,1,1,24.15,"S","L"
"801","N","P2","male",34,0,0,13,"S","L"
"802","Y","P2","female",31,1,1,26.25,"S","L"
"803","Y","P1","male",11,1,2,120,"S","H"
"804","Y","P3","male",0.42,0,1,8.5167,"C","L"
"805","Y","P3","male",27,0,0,6.975,"S","L"
"806","N","P3","male",31,0,0,7.775,"S","L"
"807","N","P1","male",39,0,0,0,"S","L"
"808","N","P3","female",18,0,0,7.775,"S","L"
"809","N","P2","male",39,0,0,13,"S","L"
"810","Y","P1","female",33,1,0,53.1,"S","L"
"811","N","P3","male",26,0,0,7.8875,"S","L"
"812","N","P3","male",39,0,0,24.15,"S","L"
"813","N","P2","male",35,0,0,10.5,"S","L"
"814","N","P3","female",6,4,2,31.275,"S","L"
"815","N","P3","male",30.5,0,0,8.05,"S","L"
"816","N","P1","male",?,0,0,0,"S","L"
"817","N","P3","female",23,0,0,7.925,"S","L"
"818","N","P2","male",31,1,1,37.0042,"C","L"
"819","N","P3","male",43,0,0,6.45,"S","L"
"820","N","P3","male",10,3,2,27.9,"S","L"
"821","Y","P1","female",52,1,1,93.5,"S","L"
"822","Y","P3","male",27,0,0,8.6625,"S","L"
"823","N","P1","male",38,0,0,0,"S","L"
"824","Y","P3","female",27,0,1,12.475,"S","L"
"825","N","P3","male",2,4,1,39.6875,"S","L"
"826","N","P3","male",?,0,0,6.95,"Q","L"
"827","N","P3","male",?,0,0,56.4958,"S","L"
"828","Y","P2","male",1,0,2,37.0042,"C","L"
"829","Y","P3","male",?,0,0,7.75,"Q","L"
"830","Y","P1","female",62,0,0,80,?,"L"
"831","Y","P3","female",15,1,0,14.4542,"C","L"
"832","Y","P2","male",0.83,1,1,18.75,"S","L"
"833","N","P3","male",?,0,0,7.2292,"C","L"
"834","N","P3","male",23,0,0,7.8542,"S","L"
"835","N","P3","male",18,0,0,8.3,"S","L"
"836","Y","P1","female",39,1,1,83.1583,"C","L"
"837","N","P3","male",21,0,0,8.6625,"S","L"
"838","N","P3","male",?,0,0,8.05,"S","L"
"839","Y","P3","male",32,0,0,56.4958,"S","L"
"840","Y","P1","male",?,0,0,29.7,"C","L"
"841","N","P3","male",20,0,0,7.925,"S","L"
"842","N","P2","male",16,0,0,10.5,"S","L"
"843","Y","P1","female",30,0,0,31,"C","L"
"844","N","P3","male",34.5,0,0,6.4375,"C","L"
"845","N","P3","male",17,0,0,8.6625,"S","L"
"846","N","P3","male",42,0,0,7.55,"S","L"
"847","N","P3","male",?,8,2,69.55,"S","L"
"848","N","P3","male",35,0,0,7.8958,"C","L"
"849","N","P2","male",28,0,1,33,"S","L"
"850","Y","P1","female",?,1,0,89.1042,"C","L"
"851","N","P3","male",4,4,2,31.275,"S","L"
"852","N","P3","male",74,0,0,7.775,"S","L"
"853","N","P3","female",9,1,1,15.2458,"C","L"
"854","Y","P1","female",16,0,1,39.4,"S","L"
"855","N","P2","female",44,1,0,26,"S","L"
"856","Y","P3","female",18,0,1,9.35,"S","L"
"857","Y","P1","female",45,1,1,164.8667,"S","H"
"858","Y","P1","male",51,0,0,26.55,"S","L"
"859","Y","P3","female",24,0,3,19.2583,"C","L"
"860","N","P3","male",?,0,0,7.2292,"C","L"
"861","N","P3","male",41,2,0,14.1083,"S","L"
"862","N","P2","male",21,1,0,11.5,"S","L"
"863","Y","P1","female",48,0,0,25.9292,"S","L"
"864","N","P3","female",?,8,2,69.55,"S","L"
"865","N","P2","male",24,0,0,13,"S","L"
"866","Y","P2","female",42,0,0,13,"S","L"
"867","Y","P2","female",27,1,0,13.8583,"C","L"
"868","N","P1","male",31,0,0,50.4958,"S","L"
"869","N","P3","male",?,0,0,9.5,"S","L"
"870","Y","P3","male",4,1,1,11.1333,"S","L"
"871","N","P3","male",26,0,0,7.8958,"S","L"
"872","Y","P1","female",47,1,1,52.5542,"S","L"
"873","N","P1","male",33,0,0,5,"S","L"
"874","N","P3","male",47,0,0,9,"S","L"
"875","Y","P2","female",28,1,0,24,"C","L"
"876","Y","P3","female",15,0,0,7.225,"C","L"
"877","N","P3","male",20,0,0,9.8458,"S","L"
"878","N","P3","male",19,0,0,7.8958,"S","L"
"879","N","P3","male",?,0,0,7.8958,"S","L"
"880","Y","P1","female",56,0,1,83.1583,"C","L"
"881","Y","P2","female",25,0,1,26,"S","L"
"882","N","P3","male",33,0,0,7.8958,"S","L"
"883","N","P3","female",22,0,0,10.5167,"S","L"
"884","N","P2","male",28,0,0,10.5,"S","L"
"885","N","P3","male",25,0,0,7.05,"S","L"
"886","N","P3","female",39,0,5,29.125,"Q","L"
"887","N","P2","male",27,0,0,13,"S","L"
"888","Y","P1","female",19,0,0,30,"S","L"
"889","N","P3","female",?,1,2,23.45,"S","L"
"890","Y","P1","male",26,0,0,30,"C","L"
"891","N","P3","male",32,0,0,7.75,"Q","L"
